id,number rooms,room type,neighborhood group,price,utilization
1241587,2,Entire home/apt,Manhattan,935,115.7954385
1242139,1,Entire home/apt,Queens,465,149.2474465
1242691,1,Private room,Brooklyn,256,130.4614469
1243796,1,Private room,Manhattan,1196,11.46377973
1244348,1,Private room,Manhattan,448,68.21627483
1244900,2,Entire home/apt,Manhattan,920,107.7340202
1246005,2,Entire home/apt,Brooklyn,859,99.12739376
1246557,1,Private room,Manhattan,691,64.24818577
1247110,1,Private room,Manhattan,693,62.57783352
1247662,1,Entire home/apt,Brooklyn,747,95.0991059
1248214,3,Entire home/apt,Brooklyn,906,93.35704222
1249319,2,Entire home/apt,Brooklyn,252,166.3881228
1249871,1,Private room,Brooklyn,718,78.27668194
1250423,2,Entire home/apt,Brooklyn,120,290.9283432
1250976,4,Entire home/apt,Brooklyn,1161,53.63947171
1252080,1,Private room,Brooklyn,857,81.74174329
1252633,1,Private room,Manhattan,839,64.31139885
1253185,4,Entire home/apt,Manhattan,1126,69.20216707
1253737,1,Entire home/apt,Manhattan,166,292.4462824
1254842,1,Private room,Brooklyn,225,179.8134085
1259260,1,Private room,Manhattan,817,82.78758215
1259812,1,Entire home/apt,Brooklyn,52,362.0
1260365,1,Private room,Manhattan,1198,3.498472457
1260917,1,Private room,Queens,613,53.50998759
1262574,1,Private room,Manhattan,409,67.74093059
1265888,1,Entire home/apt,Manhattan,229,239.1259579
1266440,3,Entire home/apt,Brooklyn,1060,80.91488145
1266992,4,Entire home/apt,Manhattan,1046,36.65500477
1272515,1,Private room,Manhattan,435,78.31473994
1273620,1,Shared room,Manhattan,67,354.3558979
1274172,1,Private room,Brooklyn,590,65.4326071
1274725,1,Entire home/apt,Manhattan,365,164.4942128
1275277,1,Entire home/apt,Brooklyn,314,149.7315628
1276381,2,Entire home/apt,Brooklyn,638,108.9299592
1276934,1,Private room,Manhattan,1051,37.60697476
1277486,1,Entire home/apt,Brooklyn,164,264.9145019
1278038,1,Entire home/apt,Brooklyn,586,79.02625594
1284114,1,Private room,Brooklyn,1057,44.00978207
1284666,1,Private room,Brooklyn,546,62.96648921
1285218,1,Private room,Manhattan,88,365.0
1289637,3,Entire home/apt,Brooklyn,1181,69.58624155
1290189,3,Entire home/apt,Brooklyn,923,90.88008025
1291294,2,Entire home/apt,Brooklyn,413,136.406226
1291846,3,Entire home/apt,Brooklyn,972,79.10359211
1292398,1,Entire home/apt,Brooklyn,346,110.920377
1292950,1,Private room,Manhattan,152,236.5377919
1294055,1,Private room,Brooklyn,557,38.22544623
1294607,1,Private room,Queens,177,173.7106959
1295160,2,Entire home/apt,Manhattan,836,103.2025025
1295712,1,Private room,Manhattan,181,186.0025023
1296264,1,Private room,Manhattan,913,39.29977148
1296817,1,Private room,Brooklyn,556,108.4985342
1297369,1,Private room,Brooklyn,67,363.0
1297921,1,Private room,Brooklyn,253,90.4217991
1301235,2,Entire home/apt,Brooklyn,710,112.9066426
1301787,1,Private room,Manhattan,783,64.51659961
1302892,1,Shared room,Manhattan,910,43.108238
1303996,2,Entire home/apt,Brooklyn,565,120.3311585
1307863,1,Entire home/apt,Brooklyn,644,127.8645003
1308415,1,Private room,Brooklyn,500,68.65819271
1308967,4,Entire home/apt,Brooklyn,1114,82.6803384
1309519,1,Private room,Bronx,581,50.10979437
1310072,1,Entire home/apt,Brooklyn,353,144.8139809
1311729,1,Entire home/apt,Brooklyn,357,178.0558824
1312833,1,Private room,Queens,924,13.73721328
1313386,2,Entire home/apt,Brooklyn,186,175.422921
1314490,1,Private room,Manhattan,80,361.0
1315042,1,Entire home/apt,Manhattan,709,93.94231884
1315595,2,Entire home/apt,Brooklyn,473,171.4341398
1316699,1,Private room,Manhattan,228,187.4820046
1317252,1,Private room,Staten Island,629,20.42784964
1318356,1,Entire home/apt,Queens,476,120.5736276
1319461,3,Entire home/apt,Brooklyn,523,107.132552
1320013,1,Private room,Manhattan,145,258.9641912
1329402,1,Entire home/apt,Brooklyn,396,156.1166872
1335478,1,Private room,Manhattan,119,256.075182
1336030,1,Entire home/apt,Brooklyn,244,167.3865027
1336582,1,Private room,Manhattan,697,71.18531615
1337134,1,Private room,Manhattan,196,159.9781508
1338239,3,Entire home/apt,Brooklyn,1159,42.02952268
1338791,1,Private room,Bronx,361,44.3634319
1339344,4,Entire home/apt,Manhattan,1090,78.95460984
1341001,3,Entire home/apt,Brooklyn,779,78.56098268
1341553,2,Entire home/apt,Manhattan,1114,14.74960815
1342105,1,Entire home/apt,Manhattan,676,132.7393164
1343210,1,Private room,Manhattan,578,65.99379054
1343762,1,Entire home/apt,Manhattan,1025,87.35447906
1344867,3,Entire home/apt,Brooklyn,1067,50.53966616
1345419,1,Private room,Manhattan,488,20.10776351
1346524,2,Entire home/apt,Manhattan,613,95.30650298
1348733,2,Entire home/apt,Manhattan,1038,88.76653659
1349285,2,Entire home/apt,Manhattan,765,81.984756
1349837,1,Entire home/apt,Manhattan,188,254.2664521
1350390,1,Entire home/apt,Queens,134,286.8831702
1351494,1,Entire home/apt,Manhattan,260,182.4716515
1352047,1,Private room,Brooklyn,631,95.88869122
1352599,4,Entire home/apt,Brooklyn,810,123.4192906
1353703,1,Private room,Brooklyn,59,363.0
1354256,2,Entire home/apt,Brooklyn,461,128.3801474
1354808,1,Entire home/apt,Manhattan,1019,69.96054935
1355360,1,Private room,Brooklyn,1038,41.92862006
1355913,3,Entire home/apt,Brooklyn,1156,71.42941327
1357017,1,Entire home/apt,Brooklyn,256,153.9607213
1357570,1,Private room,Manhattan,683,101.9067271
1358122,1,Private room,Bronx,640,38.20029622
1358674,1,Entire home/apt,Brooklyn,463,129.9224055
1359226,2,Entire home/apt,Manhattan,429,116.410725
1359779,1,Private room,Brooklyn,1154,19.95485997
1360331,1,Entire home/apt,Manhattan,629,163.8606639
1365854,1,Entire home/apt,Manhattan,538,125.0392935
1366406,1,Private room,Manhattan,1029,55.14052481
1367511,1,Entire home/apt,Manhattan,262,199.08611
1368063,1,Private room,Brooklyn,58,361.0
1368616,1,Private room,Manhattan,53,362.0
1369168,1,Private room,Manhattan,792,58.08732316
1370272,2,Entire home/apt,Brooklyn,1145,65.47821221
1370825,3,Entire home/apt,Brooklyn,1113,89.92978005
1371929,2,Entire home/apt,Brooklyn,685,109.7486307
1372482,1,Private room,Brooklyn,637,55.03603908
1373034,2,Entire home/apt,Manhattan,678,113.9178915
1373586,1,Private room,Manhattan,878,72.58131591
1386289,3,Entire home/apt,Brooklyn,758,93.46669823
1386841,2,Entire home/apt,Brooklyn,963,87.25954413
1387394,1,Private room,Queens,738,72.04275586
1388498,1,Entire home/apt,Manhattan,177,255.0742459
1390155,1,Private room,Staten Island,1012,57.19591479
1390708,1,Entire home/apt,Staten Island,845,93.5731505
1391260,1,Entire home/apt,Brooklyn,937,69.31469541
1392364,2,Entire home/apt,Brooklyn,563,104.0661089
1393469,1,Private room,Manhattan,483,121.9351263
1394021,1,Private room,Manhattan,313,80.62571344
1394574,3,Entire home/apt,Manhattan,878,78.34575184
1396231,1,Private room,Manhattan,1165,0.0
1396783,3,Entire home/apt,Manhattan,640,118.3480177
1397335,2,Entire home/apt,Brooklyn,342,138.3681552
1397887,1,Private room,Manhattan,1014,3.925840827
1398440,2,Entire home/apt,Manhattan,494,123.1516503
1398992,2,Entire home/apt,Brooklyn,155,245.382833
1401754,1,Private room,Brooklyn,290,139.2932314
1402858,1,Entire home/apt,Manhattan,907,117.5362184
1403410,2,Entire home/apt,Manhattan,158,219.7912596
1404515,3,Entire home/apt,Manhattan,1044,71.70696056
1406172,2,Entire home/apt,Manhattan,436,129.109313
1406724,1,Entire home/apt,Manhattan,673,123.8291768
1407277,1,Entire home/apt,Manhattan,115,345.0467646
1408381,1,Private room,Queens,896,34.19702893
1408933,1,Private room,Bronx,756,45.96375804
1409486,1,Private room,Brooklyn,422,57.10906622
1410038,1,Private room,Manhattan,586,70.98511886
1410590,2,Entire home/apt,Manhattan,666,82.89099942
1411143,3,Entire home/apt,Brooklyn,1183,77.74181256
1411695,1,Entire home/apt,Manhattan,175,246.4731374
1412247,1,Private room,Brooklyn,72,361.0
1412800,1,Private room,Queens,620,68.26083657
1413352,1,Private room,Brooklyn,370,86.66560621
1413904,1,Private room,Queens,784,35.37697878
1414456,1,Private room,Brooklyn,174,165.0935315
1415561,1,Private room,Brooklyn,65,365.0
1416666,1,Entire home/apt,Brooklyn,474,102.8332613
1417218,1,Private room,Brooklyn,440,74.27498342
1417770,1,Private room,Brooklyn,627,67.91720836
1418323,4,Entire home/apt,Manhattan,1078,78.18008776
1418875,2,Entire home/apt,Manhattan,57,362.0
1419979,1,Entire home/apt,Manhattan,395,145.2985728
1420532,2,Entire home/apt,Manhattan,516,124.8913083
1421636,4,Entire home/apt,Brooklyn,1161,53.01878041
1422189,1,Private room,Brooklyn,456,126.1347085
1422741,1,Entire home/apt,Manhattan,125,355.8159909
1423293,1,Private room,Manhattan,815,62.14315182
1424398,2,Entire home/apt,Brooklyn,612,92.54230428
1424950,1,Entire home/apt,Brooklyn,80,362.0
1425502,1,Entire home/apt,Manhattan,117,341.3156883
1426055,2,Entire home/apt,Brooklyn,632,112.0501502
1427159,4,Entire home/apt,Brooklyn,1122,45.02972956
1427712,1,Private room,Manhattan,122,262.9718149
1428264,1,Private room,Brooklyn,213,222.810718
1428816,3,Entire home/apt,Manhattan,652,84.90341424
1429369,4,Entire home/apt,Brooklyn,1003,24.16354091
1429921,1,Private room,Manhattan,237,119.4172911
1430473,1,Private room,Queens,911,66.38240652
1433235,2,Entire home/apt,Brooklyn,911,96.65144567
1435444,1,Private room,Manhattan,146,220.4818886
1435996,1,Entire home/apt,Brooklyn,261,167.170204
1437101,1,Private room,Brooklyn,701,42.00709027
1437653,1,Entire home/apt,Brooklyn,279,146.3758554
1440967,3,Entire home/apt,Manhattan,831,78.79558113
1441519,1,Private room,Brooklyn,214,157.4947989
1443176,2,Entire home/apt,Manhattan,1081,124.2938752
1443728,1,Private room,Brooklyn,316,88.27149631
1444281,4,Entire home/apt,Brooklyn,1009,41.43364907
1445938,2,Entire home/apt,Manhattan,993,61.36115169
1446490,3,Entire home/apt,Brooklyn,656,117.8215069
1447042,2,Entire home/apt,Brooklyn,233,170.0151174
1447594,1,Entire home/apt,Brooklyn,512,129.6018879
1448147,1,Entire home/apt,Brooklyn,97,363.0
1448699,2,Entire home/apt,Brooklyn,1135,41.45732999
1449251,1,Entire home/apt,Manhattan,279,160.7518653
1449804,2,Entire home/apt,Brooklyn,554,68.07162125
1450356,1,Entire home/apt,Manhattan,664,136.0406977
1451461,1,Entire home/apt,Manhattan,108,328.1272274
1452013,1,Private room,Queens,1127,73.84947674
1452565,3,Entire home/apt,Brooklyn,973,101.3008618
1453117,1,Entire home/apt,Manhattan,696,154.4177974
1453670,1,Entire home/apt,Manhattan,200,226.25185
1454222,4,Entire home/apt,Brooklyn,777,95.1881808
1454774,1,Entire home/apt,Queens,290,162.8542897
1455327,1,Private room,Manhattan,1008,45.07743256
1455879,2,Entire home/apt,Manhattan,348,141.1317345
1458640,2,Entire home/apt,Brooklyn,237,217.0687098
1459193,1,Entire home/apt,Queens,241,183.8013465
1460297,2,Entire home/apt,Manhattan,626,97.42519863
1460850,1,Entire home/apt,Brooklyn,413,87.51732658
1461402,1,Entire home/apt,Brooklyn,511,91.86657021
1462507,2,Entire home/apt,Brooklyn,285,159.3448384
1463059,1,Private room,Brooklyn,833,47.41473288
1464163,1,Private room,Brooklyn,921,66.70912313
1465268,2,Entire home/apt,Brooklyn,130,282.2894902
1465820,3,Entire home/apt,Manhattan,1128,71.27937131
1466373,1,Private room,Brooklyn,459,103.4671925
1467477,1,Private room,Brooklyn,802,74.69741295
1468030,1,Private room,Brooklyn,314,108.2467365
1468582,1,Private room,Brooklyn,375,138.5252301
1469134,1,Private room,Brooklyn,572,73.5581323
1469686,1,Private room,Brooklyn,894,96.22180577
1470239,1,Entire home/apt,Brooklyn,949,89.0738093
1470791,1,Private room,Brooklyn,495,52.28428116
1471343,1,Private room,Brooklyn,584,72.2032682
1471896,1,Private room,Manhattan,281,118.2900901
1472448,4,Entire home/apt,Manhattan,1022,71.69327659
1473000,1,Entire home/apt,Brooklyn,186,184.2043058
1479076,1,Private room,Manhattan,1055,43.782695
1480180,1,Private room,Staten Island,1174,0.0
1480732,1,Private room,Manhattan,131,216.992153
1481285,1,Private room,Manhattan,97,356.3569646
1481837,1,Private room,Brooklyn,648,49.32639244
1482389,1,Entire home/apt,Manhattan,772,74.49280674
1483494,1,Private room,Manhattan,481,101.0506289
1484046,1,Private room,Queens,398,74.69591438
1484599,1,Private room,Brooklyn,1074,60.56731462
1485151,2,Entire home/apt,Manhattan,788,105.0640294
1486255,1,Entire home/apt,Brooklyn,1171,27.69034502
1486808,2,Entire home/apt,Manhattan,736,84.04380426
1487360,2,Entire home/apt,Brooklyn,887,89.15689953
1487912,1,Private room,Manhattan,764,69.80314343
1488465,2,Entire home/apt,Brooklyn,480,159.2375017
1489017,1,Private room,Brooklyn,278,106.463537
1489569,1,Private room,Brooklyn,327,111.4583112
1490674,1,Entire home/apt,Manhattan,488,88.28784573
1491226,1,Entire home/apt,Brooklyn,433,104.8019504
1491778,1,Entire home/apt,Brooklyn,758,96.5471246
1492331,3,Entire home/apt,Manhattan,910,87.04218172
1492883,1,Entire home/apt,Manhattan,662,130.8388383
1493435,2,Entire home/apt,Brooklyn,144,277.8716362
1493988,1,Private room,Brooklyn,705,28.3414763
1494540,1,Private room,Manhattan,1145,38.48978062
1495092,2,Entire home/apt,Manhattan,835,106.956772
1495645,1,Private room,Brooklyn,508,91.36981903
1497301,2,Entire home/apt,Manhattan,1113,61.37316589
1497854,3,Entire home/apt,Manhattan,1167,56.23560843
1498406,1,Private room,Brooklyn,352,75.66849266
1498958,1,Entire home/apt,Manhattan,270,217.9598469
1499511,2,Entire home/apt,Manhattan,510,109.643547
1500063,1,Entire home/apt,Manhattan,758,136.8845154
1500615,1,Entire home/apt,Manhattan,1121,47.82008323
1501168,1,Entire home/apt,Brooklyn,52,363.0
1501720,2,Entire home/apt,Brooklyn,365,139.1729428
1502272,4,Entire home/apt,Manhattan,1045,45.89089214
1502824,1,Private room,Manhattan,151,238.6053998
1503377,1,Private room,Brooklyn,244,107.6344906
1503929,1,Private room,Manhattan,759,78.70265469
1505034,1,Private room,Manhattan,1070,37.063545
1505586,2,Entire home/apt,Brooklyn,171,255.9329738
1506138,3,Entire home/apt,Brooklyn,964,91.26890474
1506691,2,Entire home/apt,Brooklyn,900,122.3362028
1507243,1,Private room,Manhattan,890,4.51713879
1507795,1,Entire home/apt,Manhattan,1075,71.78202354
1512214,1,Private room,Manhattan,759,89.89484885
1513318,4,Entire home/apt,Brooklyn,1167,50.72700316
1514423,2,Entire home/apt,Manhattan,461,127.7275638
1514975,1,Entire home/apt,Manhattan,944,91.02968905
1519393,2,Entire home/apt,Manhattan,861,118.1223408
1519946,1,Entire home/apt,Manhattan,170,269.5686949
1520498,1,Private room,Brooklyn,752,97.78727135
1521050,1,Entire home/apt,Brooklyn,524,126.0823174
1521603,3,Entire home/apt,Manhattan,966,112.0973685
1522155,1,Private room,Brooklyn,125,211.4178887
1522707,1,Private room,Manhattan,613,126.8624782
1523260,1,Shared room,Manhattan,644,53.08707623
1523812,1,Private room,Manhattan,848,35.70296351
1524364,1,Private room,Manhattan,382,87.78526178
1524916,1,Private room,Brooklyn,593,64.70356367
1525469,1,Private room,Brooklyn,392,96.77348754
1526021,3,Entire home/apt,Brooklyn,984,74.5721556
1526573,1,Private room,Brooklyn,1138,67.26720682
1527126,1,Private room,Brooklyn,611,97.97629229
1528230,2,Entire home/apt,Manhattan,675,46.73684458
1528783,1,Entire home/apt,Brooklyn,112,358.9870773
1529335,1,Private room,Brooklyn,1100,64.44479441
1529887,2,Entire home/apt,Brooklyn,296,119.3121393
1530439,1,Private room,Staten Island,1178,0.0
1531544,1,Entire home/apt,Manhattan,59,364.0
1532096,2,Entire home/apt,Brooklyn,400,142.3605582
1532649,4,Entire home/apt,Brooklyn,1187,0.0
1533201,1,Private room,Manhattan,846,59.05594591
1533753,1,Private room,Manhattan,1143,75.04323189
1534306,1,Private room,Manhattan,734,84.47120351
1534858,1,Private room,Brooklyn,827,42.12459451
1535410,1,Entire home/apt,Bronx,344,96.92720619
1536515,1,Private room,Manhattan,996,10.52762251
1537067,2,Entire home/apt,Manhattan,647,87.09101922
1537619,1,Private room,Manhattan,71,365.0
1538172,3,Entire home/apt,Manhattan,677,153.8238598
1538724,1,Private room,Manhattan,919,61.96974805
1539276,1,Entire home/apt,Manhattan,362,129.9019764
1539829,1,Private room,Queens,687,57.11978256
1540381,1,Shared room,Queens,712,31.80318578
1540933,2,Entire home/apt,Brooklyn,498,112.8351634
1541485,1,Private room,Brooklyn,383,96.25074727
1542038,1,Private room,Manhattan,1148,0.0
1542590,2,Entire home/apt,Manhattan,504,158.2614354
1543142,1,Private room,Manhattan,826,72.12561674
1543695,1,Private room,Brooklyn,418,100.1163938
1544247,1,Private room,Queens,724,66.40595777
1544799,1,Entire home/apt,Manhattan,114,362.0
1545352,1,Entire home/apt,Manhattan,913,68.53856407
1546456,2,Entire home/apt,Manhattan,700,114.4261184
1547008,1,Private room,Manhattan,925,53.42942628
1547561,3,Entire home/apt,Manhattan,524,132.6847387
1548113,2,Entire home/apt,Brooklyn,171,198.2581393
1549770,1,Entire home/apt,Brooklyn,372,133.6088162
1550322,1,Entire home/apt,Brooklyn,1087,52.28500662
1550875,2,Entire home/apt,Manhattan,461,101.3607626
1551427,1,Private room,Manhattan,993,81.91642284
1551979,1,Private room,Manhattan,186,171.7751861
1552531,1,Private room,Manhattan,641,31.98272655
1554741,1,Entire home/apt,Queens,145,259.2126508
1555293,1,Entire home/apt,Manhattan,1163,37.55148292
1555845,1,Entire home/apt,Manhattan,96,359.3409333
1556398,4,Entire home/apt,Brooklyn,855,64.99855327
1556950,1,Private room,Brooklyn,51,364.0
1557502,1,Entire home/apt,Manhattan,165,246.7052517
1558054,2,Entire home/apt,Brooklyn,175,196.0640643
1558607,4,Entire home/apt,Brooklyn,544,88.21629867
1561368,4,Entire home/apt,Brooklyn,1163,62.70890442
1561921,3,Entire home/apt,Brooklyn,748,76.22406764
1562473,1,Entire home/apt,Brooklyn,373,151.5630253
1563025,1,Private room,Brooklyn,960,59.05888463
1563577,2,Entire home/apt,Manhattan,435,122.1936116
1564130,1,Entire home/apt,Manhattan,70,361.0
1564682,2,Entire home/apt,Brooklyn,1195,77.95888541
1565234,1,Entire home/apt,Manhattan,208,210.3765042
1566339,2,Entire home/apt,Brooklyn,185,192.7594647
1566891,1,Private room,Manhattan,798,92.67383321
1567444,2,Entire home/apt,Brooklyn,845,95.67422906
1567996,1,Entire home/apt,Manhattan,88,365.0
1568548,1,Entire home/apt,Brooklyn,344,147.1569961
1569100,1,Private room,Manhattan,764,71.52538259
1569653,2,Entire home/apt,Manhattan,737,113.0056165
1570205,1,Private room,Manhattan,382,140.1888107
1570757,2,Entire home/apt,Manhattan,441,89.85723148
1571310,1,Entire home/apt,Manhattan,324,163.6555574
1572414,4,Entire home/apt,Brooklyn,1024,71.2436607
1573519,1,Private room,Manhattan,489,109.2135266
1574071,2,Entire home/apt,Manhattan,711,98.59961414
1575176,1,Private room,Queens,963,70.76249954
1575728,1,Entire home/apt,Brooklyn,690,121.6315877
1576280,3,Entire home/apt,Brooklyn,1013,114.2254399
1576833,3,Entire home/apt,Brooklyn,795,59.64528282
1577385,1,Entire home/apt,Brooklyn,148,253.6401766
1577937,1,Entire home/apt,Manhattan,671,114.2380444
1578490,1,Private room,Manhattan,198,196.1490793
1579042,1,Entire home/apt,Manhattan,467,114.0054171
1580146,1,Entire home/apt,Brooklyn,321,118.2597217
1580699,1,Private room,Manhattan,1101,31.54930226
1581251,1,Private room,Manhattan,88,361.0154419
1581803,1,Private room,Manhattan,56,361.0
1582356,1,Entire home/apt,Brooklyn,242,179.8849985
1582908,2,Entire home/apt,Manhattan,826,116.378085
1584013,1,Private room,Brooklyn,467,103.3402225
